subject;vibro;visual
2;5;5
2;5;4
2;2;6
2;4;3
3;4;4
3;6;6
3;4;4
3;4;4
4;5;5
4;6;5
4;5;4
4;5;5
5;5;4
5;6;3
5;5;3
5;5;3
6;6;6
6;6;7
6;6;6
6;4;5
7;5;5
7;4;5
7;3;3
7;3;3
8;4;3
8;5;5
8;4;5
8;3;3
9;6;6
9;6;5
9;5;4
9;6;4
10;4;6
10;5;6
10;6;5
10;4;5
11;6;6
11;5;6
11;5;6
11;3;3
12;4;3
12;6;5
12;6;6
12;3;3
13;4;4
13;6;6
13;5;6
13;2;1
14;4;4
14;5;3
14;5;5
14;5;3
15;6;5
15;6;6
15;4;3
15;5;5
16;5;5
16;6;6
16;6;6
16;6;6
17;6;5
17;6;6
17;6;3
17;6;5
18;3;3
18;2;2
18;3;4
18;3;4
19;5;5
19;5;5
19;4;5
19;4;3
20;2;3
20;4;2
20;6;6
20;4;2
